episode;steps;reward;average
80;541;224.06033127067806;-71.116805210498
81;750;93.14105692195926;-69.1136605503461
82;750;5.207881288171282;-68.21822028723143
83;750;18.89870103335188;-67.18111408103401
84;750;45.906699205893375;-65.85066921883487
85;750;-20.74042072190758;-65.32613144561478
86;750;43.33876759776259;-64.07710961752998
87;750;-28.67913073663106;-63.674859857519756
88;750;-7.14354788924232;-63.039676576977314
89;750;59.97782227979756;-61.67281547856871
90;750;51.590004728792;-60.42816910266364
91;750;40.045802345427;-59.33606071735831
92;750;24.27421433903808;-58.43702550169814
93;750;-32.42207906055516;-58.16027075232427
94;750;65.4778593130338;-56.85881675163629
95;750;16.3289824183997;-56.096443843615084
96;750;22.897480913132213;-55.282073485298106
97;750;42.120028535208284;-54.28817448508886
98;750;-2.8912715911568614;-53.769013849796615
99;750;37.034303709527876;-52.86098067420337
100;750;-6.967787588424208;-49.052144837268536
101;750;15.467454733613712;-47.8220978670259
102;750;-2.047844470401686;-43.71393314484661
103;750;24.8501397244556;-40.431456273994314
104;750;-9.327071441138502;-34.72006567430263
105;750;5.485788405207814;-30.6541524345179
106;750;5.290473366097604;-29.518354232845695
107;750;18.165151896600374;-28.995207228472573
108;750;18.006033391757033;-25.5528151973459
109;750;85.13906411930402;-21.711235623280135
110;173;-4.399762398003233;-20.855704487582297
111;750;48.758229242317114;-18.721100304086864
112;750;1.2536237933046415;-17.362898348856373
113;750;8.984143612904921;-17.09382100464093
114;750;-0.24870278957545833;-15.466666813638888
115;750;-14.718842551558158;-15.032258006147574
116;750;29.362799294210554;-11.91157332589806
117;750;16.203828157288534;-10.579194959953695
118;750;28.211225614826024;-7.295656984145053
119;120;-18.673310912902267;-5.258773127050445
120;750;27.138434165297365;-4.041550448935286
121;750;16.932486195136498;-3.8414716663774873
122;750;40.19466875840456;-2.5965160665876157
123;750;51.987087297628726;-1.1541330503635794
124;750;7.756197920276625;0.6422132202899692
125;750;0.3067986741272474;1.8119094816339743
126;750;18.428997245167942;1.9132156947036527
127;750;43.28842623365725;1.7145391143969686
128;750;23.840409116466976;2.4851024000937736
129;750;-0.3831142887232364;2.4179817662852834
130;750;24.328076045540403;2.8547436955502996
131;750;20.085725213620805;2.2130613052651373
132;750;27.833925512522498;2.724680618923548
133;750;42.30997428459115;3.3690606683670263
134;750;17.37356708712292;3.9790560037387803
135;750;13.283111324239965;4.432727418158514
136;750;38.391509660666166;3.5073552066235116
137;750;7.538659986904324;4.148089602108393
138;750;8.24459786684668;5.168215908996867
139;750;21.89398508406156;6.073235207008688
140;750;49.228780562179125;7.161007635885041
141;680;249.41080099472634;10.055501754426142
142;750;36.054003391195046;10.494352918509076
143;750;100.64321485370154;12.017783644677799
144;750;73.10808217341442;13.261757239197662
145;750;133.30570315063306;14.685949671911793
146;750;35.6575685925523;15.77176319183956
147;750;69.69214222342197;17.004945199468168
148;648;141.72438849305522;18.75419016189557
149;511;-36.59599940591389;18.484590846304663
150;740;225.1727899097035;21.260871637118754
151;750;46.64438766917253;22.31649004326671
152;750;21.87152092275667;22.7649435624278
153;439;242.98880615616244;25.338792640081238
154;600;201.4922186304382;27.63779000737426
155;750;55.0552789614533;28.893368266206824
156;750;32.22516814397918;29.632044427548582
157;750;49.41168800483439;30.412378349048087
158;750;98.92312288859651;31.796678338706716
159;457;219.55642543902871;34.7134657356398
160;378;223.74514854200388;36.98181341769572
161;750;13.163661153969265;37.20331495438733
162;341;246.2530843185075;39.70818592975442
163;415;276.7333564708856;42.50503518194548
164;369;244.48806617640105;45.559500523718555
165;744;170.72392230835453;47.22665361155129
166;398;15.70747312815952;47.877104052425494
167;403;231.39622729950392;50.40766141136527
168;477;-73.85581133007467;49.89903039487729
169;326;22.303553799053503;49.867506063019384
170;505;210.4872492804896;51.91792623094521
171;494;276.2116481303533;54.67815261921643
172;496;243.79459232033514;57.52388679103317
173;729;199.91575068998557;59.41300261334841
174;750;-5.122548912358126;58.83945211579735
175;750;6.585514223810534;58.709348571444316
176;750;28.67642507344425;58.86766394748534
177;750;18.190259664804476;58.154870718601
178;476;257.09587741284105;60.696424583743166
179;750;26.541444043395433;60.765966280330765
180;750;25.815739530340156;58.78352036292739
181;750;55.8465016860013;58.410574810567816
182;750;56.64727238638962;58.924968721549995
183;750;31.348384299131645;59.04946555420779
184;652;213.64043820441555;60.72680294419301
185;750;23.322704383746604;61.167434195249555
186;750;84.3713218597929;61.577759737869854
187;750;26.38745913669512;62.128425636603126
188;750;-10.865832623270759;62.09120278926284
189;603;201.57078099995323;63.50713237646439
190;750;61.052718479897166;63.60175951397544
191;650;206.7925313076604;65.26922680359779
192;430;234.30000599929542;67.36948472020035
193;606;-42.24742796023917;67.27123123120352
194;553;210.52912515108204;68.72174388958399
195;532;235.74635300723625;70.91591759547235
196;750;113.81610475350503;71.82510383387608
197;750;53.28638758109381;71.93676742433495
198;750;84.46445735669471;72.81032471381346
199;750;34.29438739202707;72.78292555063844
200;590;192.7412220111167;74.78001564663384
201;750;37.137141293345586;74.99671251223117
202;750;53.27956974250657;75.54998665436024
203;686;212.181804625861;77.42330330337431
204;563;256.8439262307902;80.0850132800936
205;683;155.64718161320093;81.58662721217352
206;750;76.9731040075966;82.30345351858853
207;623;190.1876029658725;84.02367802928126
208;432;262.2062459154098;86.46568015451777
209;598;165.58806120617987;87.27017012538653
210;679;198.65202844570862;89.30068803382366
211;580;199.97676229697854;90.81287336437026
212;750;78.09787291760875;91.5813158556133
213;750;27.218184897360246;91.76365626845785
214;516;170.74235278272633;93.47356682418086
215;750;54.338249899480516;94.16413774869126
216;750;60.942275693827376;94.47993251268743
217;581;241.24475528861615;96.7303417840007
218;434;246.23895182573415;98.91061904610979
219;513;213.17782922863591;101.22913044752516
220;440;228.08409876040886;103.23858709347628
221;428;253.52775136336518;105.60453974515856
222;750;81.96219191874494;106.02221497676197
223;750;54.460856819339185;106.04695267197907
224;750;92.34019715207883;106.8927926642971
225;730;205.3128495420935;108.94285317297677
226;629;223.85416345565346;110.99710483508161
227;457;199.03186914632306;112.55453926420827
228;716;232.48183824302322;114.64095355547384
229;750;29.96494527071746;114.94443415106825
230;314;257.61642986819356;117.27731768929478
231;402;241.24939012806882;119.48895433843927
232;293;243.48027374624962;121.64541782077654
233;337;240.11880140839205;123.62350609201454
234;454;264.25012814081356;126.09227170255144
235;460;277.54615941789325;128.734902183488
236;408;265.74881821560274;131.00847526903735
237;750;65.24034995084455;131.58549216867675
238;750;74.8148484043113;132.2511946740514
239;688;215.48331776368744;134.18708800084767
240;386;246.40667702791063;136.15886696550496
241;652;217.4686428246638;135.83944538380433
242;457;213.20665655301855;137.61097191542257
243;750;74.33180098100395;137.3478577766956
244;750;55.254270235983874;137.1693196573213
245;415;250.09460879918984;138.33720871380686
246;750;27.828277818744194;138.25891580606879
247;554;200.09364598860205;139.56293084372058
248;750;32.2973577845526;138.46866053663555
249;750;15.9451339548039;138.99407187024275
250;750;35.70720591990481;137.09941603034474
251;750;8.478979987048978;136.7177619535235
252;526;219.56057373802477;138.69465248167617
253;750;-0.33542790136958844;136.26141014110087
254;750;58.51048569350268;134.83159281173153
255;750;17.94960550242869;134.46053607714128
256;750;18.464609033566738;134.32293048603714
257;750;43.61076408162588;134.26492124680507
258;750;66.28425817805567;133.93853259969967
259;750;43.34127508995134;132.17638109620887
260;656;232.34105865824787;132.26234019737132
261;510;228.8085906887809;134.4187894927194
262;750;41.10794261648896;132.36733807569925
263;366;282.7220614667438;132.42722512565783
264;463;179.41617313230313;131.77650619521685
265;750;17.83317331613318;130.24759870529465
266;750;16.63563639609124;130.25688033797394
267;750;16.605264678875336;128.10897071176768
268;750;35.166846441042274;129.19919728947883
269;750;25.379953534960638;129.22996128683792
270;632;163.47308081909495;128.75981960222396
271;750;40.85447678228777;126.40624788874331
272;750;62.87177445206251;124.59701971006058
273;750;37.34397047133471;122.97130190787408
274;750;25.1820013622954;123.2743474106206
275;405;268.46526790515657;125.89314494743407
276;750;42.72622780002927;126.03364297469993
277;581;-25.635901854665875;125.59538135950521
278;473;264.9149059140119;125.67357164451691
279;750;31.11954786120742;125.71935268269505
280;608;185.22707918665864;127.31346607925823
281;750;44.46613111390114;127.19966237353724
282;750;44.863181441176735;127.0818214640851
283;750;43.56067151395694;127.20394433623335
284;750;55.72462625350785;125.62478621672426
285;469;208.02988772271055;127.4718580501139
286;750;18.679108063510697;126.81493591215109
287;750;68.07100445980292;127.23177136538217
288;750;56.23122885107781;127.90274198012565
289;671;209.15910163450425;127.97862518647116
290;750;10.22444983085642;127.47034249998075
291;560;185.79219824268682;127.26033916933102
292;455;233.66312030831818;127.25397031242125
293;750;64.84920039763274;128.32493659599996
294;609;193.13677338607036;128.15101307834985
295;750;52.05694274348625;126.31411897571235
296;750;47.205358088216684;125.64801150905947
297;750;26.852198003915724;125.38366961328768
298;601;206.11826008754406;126.60020764059617
299;746;179.3290114236774;128.05055388091267
300;750;22.188773016284067;126.34502939096434
301;750;19.536392785662144;126.16902190588752
302;750;41.64888895936144;126.05271509805605
303;750;69.34587561787302;124.62435580797617
304;750;63.76980956482158;122.69361464131649
305;750;40.43444325046625;121.54148725768913
306;330;240.12421597658778;123.17299837737905
307;389;242.61285638977185;123.69725091161803
308;750;56.24086532009103;121.63759710566484
309;429;208.33376082428464;122.06505410184589
310;750;70.02051128035052;120.7787389301923
311;750;78.09972192420246;119.55996852646454
312;750;-1.759175952817705;118.76139803776029
313;750;-3.251671978885104;118.45669946899783
314;750;30.201020433609845;117.05128614550668
315;750;37.49077559853072;116.88281140249717
316;750;65.52365751819396;116.92862522074083
317;750;58.28556124001989;115.09903328025489
318;750;71.16210717831389;113.34826483378069
319;750;63.412388629427156;111.8506104277886
320;750;11.642841873658046;109.68619785892108
321;750;71.19949470075812;107.86291529229501
322;587;209.0316214133992;109.13360958724155
323;448;215.96449893407612;110.74864600838893
324;750;81.83214329016012;110.64356546976974
325;507;225.29206545795546;110.84335762892835
326;486;244.55479895853966;111.05036398395721
327;750;75.73781423040018;109.817423434798
328;750;56.986576989612146;108.06247082226389
329;692;193.9805693624091;109.70262706318081
330;570;231.75714712797833;109.44403423577863
331;750;53.91364216167155;107.57067675611466
332;486;244.87908390204103;107.58466485767258
333;464;213.60441059311844;107.31952094951984
334;526;253.88304006267006;107.21585006873842
335;347;215.29951468393213;106.5933836213988
336;328;230.11106181795466;106.23700605742233
337;348;247.50420602328694;108.05964461814673
338;448;258.6454454641532;109.89795058874518
339;383;261.68692159926036;110.3599866271009
340;750;19.19148202484099;108.0878346770702
341;675;203.62892982926508;107.94943754711622
342;452;238.44652523174776;108.2018362339035
343;488;255.23684627109049;110.01088668680437
344;579;240.39714861764864;111.86231547062101
345;444;258.5510357129417;111.94687973975853
346;479;212.45758295787635;113.79317279114986
347;750;31.199055309358073;112.10422688435742
348;527;203.43416284747326;113.81559493498662
349;520;235.45816876000083;116.0107252830386
350;332;239.41296014942702;118.04778282533381
351;750;21.390385276219718;118.17689687822552
352;369;248.48849624482543;118.46617610329355
353;553;245.49504647466654;120.92448084705389
354;435;235.47311537537553;122.6941071438726
355;750;38.74576987013911;122.90206878754972
356;750;51.096885117413436;123.22839154838817
357;750;54.36832151512636;123.33596712272319
358;448;235.29658220645624;125.02609036300719
359;514;225.5801090250616;126.84847870235829
360;485;249.23624589837704;127.0174305747596
361;750;34.54075316324346;125.07475219950422
362;750;28.233596743985625;124.94600874077918
363;425;241.9416033577316;124.53820415968907
364;436;234.76390310432;125.09168145940923
365;462;241.03283521992608;127.32367807844716
366;419;240.06965860326585;129.5580183005189
367;336;237.9722017655268;131.77168767138542
368;743;186.68149231744718;133.2868341301495
369;750;64.09383050934932;133.67397289989336
370;509;199.02890615556072;134.029531153258
371;489;221.68442385646375;135.8378306239998
372;517;250.9342251016066;137.71845513049522
373;750;11.46344526452025;137.4596498784271
374;629;233.08095946630547;139.53863945946716
375;467;242.6410272773161;139.28039705318878
376;342;225.49449574466774;141.10807973263516
377;475;157.61254213514974;142.9405641725333
378;336;255.34575316637367;142.84487264505694
379;433;243.5456796741715;144.96913396318658
380;375;193.1557953226784;145.0484211245468
381;312;242.67691859086366;147.0305289993164
382;326;263.957365188434;149.22147083678897
383;460;-25.403502527530335;148.53182909637408
384;741;159.19337400091973;149.5665165738482
385;510;198.95081548488577;149.47572585146997
386;488;240.12178809018866;151.69015265173675
387;420;208.66837820153876;153.09612638915408
388;439;2.028670063543501;152.55410080127876
389;426;198.7972522492908;152.45048230742663
390;446;250.0384648668946;154.848622457787
391;750;85.02899762216126;153.84099045158175
392;750;-14.74493283010565;151.3569099201975
393;389;172.65652528875847;152.4349831691088
394;372;195.69456723109226;152.46056110755902
395;294;251.32778638738372;154.45326954399795
396;565;149.8567852793994;155.47978381590977
397;475;243.98581593425345;157.65111999521315
398;461;269.4695408669119;158.28463280300684
399;635;231.47916595125233;158.8061343482826
400;496;246.3077735576043;161.0473243536958
401;365;-1.4022690619046188;160.83793773522012
402;389;191.34961026170112;162.33494494824353
403;500;162.79040020531014;163.2693901941179
404;597;256.7412068464108;165.1991041669338
405;350;260.8408588824925;167.40316832325402
406;415;229.42631146520313;167.2961892781402
407;360;218.7609271851476;167.05766998609397
408;371;267.8289018523385;169.17355035141645
409;309;230.9557080840951;169.39976982401456
410;386;272.70769803234714;171.42664169153454
411;343;242.53674282994768;173.071011900592
412;370;266.3556579926245;175.75216024004644
413;388;261.6596100965749;178.40127306080103
414;478;207.657736679461;180.1758402232595
415;299;185.8203220096479;181.65913568737068
416;394;272.66618472519735;183.7305609594407
417;428;235.1796608385827;185.49950195542635
418;295;231.4674153894252;187.10255503753746
419;478;239.39521576907617;188.86238330893394
420;428;202.65337289956796;190.77248861919307
421;500;205.13814315339553;192.11187510371943
422;343;248.61040941464563;192.5076629837319
423;549;218.46596388782115;192.53267763326934
424;77;-48.28350318430251;191.2315211685247
425;290;225.58055202818025;191.234406034227
426;288;14.833410363569854;188.93719214827723
427;483;235.90349728221756;190.53884897879544
428;452;-37.87130184386465;189.59027019046064
429;445;237.50640113656883;190.02552850820226
430;368;-12.194307955220069;187.5860139573703
431;373;-39.4958449890982;186.65191908586257
432;477;172.15877771813683;185.92471602402355
433;395;243.9366745343141;186.2280386634355
434;405;226.74883336062686;185.95669659641507
435;497;204.5710416010652;185.84941186558638
436;649;151.87856836830184;185.06708693108988
437;483;-47.05341999075108;182.1215106709495
438;446;190.03898090648283;181.4354460253728
439;750;-58.042740942604745;178.23814939995412
440;638;204.78764232733985;180.09411100297916
441;423;215.4907739920721;180.21272944460722
442;478;198.49463217280652;179.81321051401778
443;592;202.71591711650444;179.28800122247193
444;78;-17.07126131390075;176.71331712315646
445;437;-78.9236727054698;173.3385700389723
446;125;-19.444671429074646;171.01954749510278
447;188;-164.44003284275882;169.06315661358158
448;508;218.84963035540557;169.21731128866094
449;88;67.5380281008733;167.53810988206965
450;456;213.1152595537289;167.27513287611265
451;335;231.3920595646962;169.37514961899743
452;194;-67.49671562043422;166.21529750034483
453;464;196.3433413812885;165.72378044941107
454;582;230.3318088557995;165.67236738421533
455;153;42.08254711930354;165.70573515670694
456;444;200.58297700962186;167.20059607562905
457;350;276.2150132730878;169.41906299320866
458;115;-94.27062287535983;166.1233909423905
459;70;-102.98110183337629;162.8377788338061
460;144;11.727533541983249;160.46269171024218
461;359;251.34144637770476;162.6306986423868
462;362;273.39107546562514;165.0822734296032
463;250;234.50592508330905;165.00791664685897
464;215;9.424772582590833;162.75452534164168
465;62;-104.24218041418351;159.30177518530058
466;70;-55.52613632649775;156.34581723600294
467;248;40.28205400940985;154.36891575844177
468;68;-46.74073071564807;152.0346935281108
469;365;278.5692260328892;154.17944748334622
470;140;-11.635804539671014;152.0728003763939
471;77;-41.83858878861568;149.43757024994312
472;240;6.377553196997226;146.99200353089702
473;310;248.8070041497399;149.36543911974923
474;75;-37.572979198061915;146.65889973310556
475;518;272.0816771329915;146.9533062316623
476;390;246.57376763020036;147.16409895051763
477;319;289.7073442974949;148.48504697214108
478;272;223.42082779761023;148.16579771845346
479;77;41.64880597846255;146.14682898149636
480;426;273.7030099538639;146.9523011278082
481;130;2.824293048251306;144.55377487238206
482;108;-174.1058138747742;140.17314308175
483;304;2.58407523984998;140.45301885942382
484;237;262.5184138890692;141.4862692583053
485;213;-7.6336639378645685;139.4204244640778
486;101;-28.56416428186013;136.7335649403573
487;280;277.620142261625;137.42308258095815
488;287;232.24312522150205;139.72522713253775
489;446;266.2122290216092;140.39937690026093
490;278;241.48426902320168;140.313834941824
491;363;241.82465819044455;141.88179154750685
492;350;223.79160815049204;144.2671569573128
493;293;269.3111382819797;145.23370308724503
494;353;267.3711198228235;145.95046861316234
495;174;11.835773159248816;143.555548480881
496;309;179.4039737333099;143.8510203654201
497;375;274.0407865819483;144.15157007189705
498;290;266.799037391843;144.12486503714638
499;398;252.57528407317605;144.3358262183656
500;247;238.06116510406505;144.25336013383023
501;308;231.78271170934465;146.58520994154273
502;442;186.71319013335847;146.5388457402593
503;271;252.09837685285925;147.43192550673479
504;288;283.232795703378;147.69684139530446
505;305;271.0362087748062;147.7987948942276
506;240;40.11612213377458;145.90569300091332
507;291;-34.622531183813436;143.3718584172237
508;346;221.23489009955318;142.90591829969583
509;431;264.202826886135;143.23838948771626
510;373;204.63815322674293;142.5576940396602
511;347;235.525639519347;142.4875830065542
512;414;239.0170876140227;142.21419730276818
513;198;46.08401419670835;140.05844134376952
514;139;41.147461532740834;138.3933385923023
515;435;233.99332714108692;138.8750686436167
516;300;-59.20725789369966;135.55633421742772
517;253;238.2524765330499;135.5870623743724
518;559;180.496647545604;135.0773546959342
519;324;-88.17537423243658;131.80164879591905
520;144;6.698057991215265;129.84209564683553
521;283;-0.19507434202023433;127.78876347188138
522;377;245.69655267312874;127.7596249044662
523;491;242.47322740468346;127.99969753963484
524;97;-4.2339200301971545;128.4401933711759
525;269;15.996460641981145;126.34435245731389
526;562;190.13575637008938;128.09737591737908
527;535;189.05350382850145;127.62887598284193
528;319;246.86502538513537;130.47623925513193
529;348;271.8546669407405;130.81972191317362
530;276;292.2568605410057;133.8642335981359
531;113;-54.88459007913116;133.71034614723558
532;443;194.20618661234585;133.93082023617768
533;252;303.5926333758955;134.52737982459348
534;384;278.229993239755;135.04219142338476
535;389;244.31888244438522;135.43966983181795
536;561;227.1614062818694;136.19249821095363
537;331;253.6282987306555;139.1993153981677
538;350;279.28291143034363;140.0917547034063
539;367;245.12079409554306;143.1233900537878
540;509;-63.10082752088282;140.44450535530555
541;357;253.73429898438422;140.82694060522869
542;328;227.2008809931508;141.1140030934321
543;592;233.7493118725174;141.42433704099224
544;312;244.91520275259407;144.04420168165723
545;387;252.73140468145962;147.3607524555265
546;368;239.93091006781003;149.95450827049535
547;373;227.09859941779115;153.86989459310084
548;272;5.391692629071002;151.73531521583752
549;540;237.78043857626758;153.43773932059142
550;345;228.03654087820397;153.5869521338362
551;362;234.38691464806456;153.6169006846699
552;457;250.52588172426044;156.79712665811684
553;455;262.0238448150768;157.45393169245472
554;738;188.31141102290994;157.0337277141258
555;531;194.86889024575845;158.56159114539037
556;385;233.81515700594144;158.89391294535355
557;539;199.15680646292626;158.12333087725193
558;448;269.8701177382993;161.7647382833885
559;456;239.0755848342242;165.18530515006452
560;531;234.7579790292614;167.41560960493732
561;553;218.64216895658836;167.08861683072612
562;649;144.32617051079234;165.7979677811778
563;401;248.7888802142275;165.940797332487
564;494;170.49921318028916;167.55154173846395
565;750;67.17579977194805;169.26572154032527
566;750;35.037308968365984;170.17135599327395
567;642;220.9318129801715;171.97785358298154
568;359;267.15640508324003;175.11682494097045
569;555;204.5519528190239;174.3766522088318
570;723;199.98949829836448;176.49290523721214
571;434;208.91268118629037;179.0004179369612
572;607;240.14844894624605;181.3381268944537
573;344;261.7779825867741;181.46783667882406
574;387;270.26332946830007;184.54619976548764
575;245;73.22854716322206;182.55766846578993
576;515;237.93277218710452;182.471258511359
577;324;226.15937589474493;181.8357788273315
578;689;184.45689680828207;181.4461395174382
579;369;221.2618427601883;183.2422698852555
580;750;81.69006982460806;181.3221404839629
581;236;58.15434185346254;181.875440972015
582;312;264.44632828136963;186.26096239357645
583;471;250.79827577859956;188.74310439896396
584;377;222.5889137890322;188.34380939796358
585;124;27.474713051113866;188.69489316785337
586;201;55.83530905674249;189.5388879012394
587;301;279.66247836242337;189.5593112622474
588;300;242.16883564444953;189.65856836647686
589;452;274.9553842426984;189.74599991868777
590;253;252.16876985491695;189.85284492700492
591;343;259.21770842877095;190.02677542938818
592;278;272.7411888860854;190.5162712367441
593;303;235.32567784719737;190.1764166323963
594;240;260.368546887634;190.10639090304437
595;102;-35.971001715008455;189.6283231543018
596;557;235.8003913968554;190.19228733093726
597;288;276.9304263405981;190.22118372852376
598;294;266.5205000648968;190.2183983552543
599;330;284.4189127666397;190.53683464218892
600;284;238.64189753319337;190.54264196648018
601;456;253.88006418629672;190.76361549124974
602;225;30.338992468381264;189.19987351459997
603;109;-78.89139307353042;185.88997581533607
604;520;247.7236054431089;185.53488391273333
605;483;216.18542005700286;184.98637602555536
606;219;21.793003936195802;184.8031448435796
607;337;258.7912863892404;187.73728301931013
608;338;271.12623780026286;188.2361964963172
609;247;215.81413782228967;187.75230960567876
610;261;257.2332529033933;188.27826060244527
611;286;257.88010264875123;188.50180523373928
612;254;247.370480438105;188.58533916198007
613;297;267.46220990597476;190.79912111907277
614;283;289.02068365963964;193.27785334034175
615;356;244.71799962910328;193.38510006522193
616;217;253.91670831536013;196.51633972731253
617;233;263.4838890734287;196.7686538527163
618;249;263.67683877939356;197.60045576505422
619;349;255.44914492367283;201.0367009566153
620;286;249.87039253588634;203.468424302062
621;488;260.9465760280417;206.07984080576264
622;341;254.27375325656928;206.16561281159701
623;235;234.69077093410172;206.08778824689122
624;138;57.59814981091699;206.70610894530233
625;248;16.085033719350022;206.70699467607602
626;293;254.68140110062902;207.35245112338143
627;359;229.604401556488;207.7579601006613
628;233;249.50826111436157;207.78439245795357
629;292;288.08059587523417;207.9466517472985
630;282;301.2353200600979;208.03643634248942
631;379;260.6757711651326;211.19203995493206
632;305;232.15420517275192;211.5715201405361
633;373;269.29131271096105;211.2285069338868
634;269;-6.086189873186839;208.38534510275736
635;360;272.89264048137886;208.6710826831273
636;291;235.90660012174786;208.75853462152608
637;275;284.1628455646169;209.0638800898657
638;328;277.73312417996544;209.0483822173619
639;248;230.00970147903575;208.89727129119686
640;337;288.2778096984062;212.41105766338973
641;461;272.57073366817696;212.59942201022767
642;277;244.58243528737745;212.77323755316993
643;249;248.36955317484203;212.91943996619318
644;555;233.38543677711078;212.80414230643834
645;352;275.85011489866406;213.03532940861038
646;242;261.7552995696444;213.25357330362874
647;278;287.6957214808974;213.85954452425977
648;302;246.4362877057893;216.26999047502693
649;295;282.8083202051202;216.7202692913155
650;271;281.02943770195645;217.250198259553
651;275;201.60810633420644;216.92241017641442
652;273;274.3565679959148;217.160717039131
653;268;255.37610511378895;217.09423964211808
654;377;269.16919021690205;217.90281743405802
655;257;287.416356585466;218.8282920974551
656;292;265.87697532975596;219.14891028069323
657;266;294.0380413534141;220.09772262959814
658;259;260.0401705698099;219.9994231579132
659;303;229.33215936834154;219.9019889032544
660;271;273.6855491433436;220.29126460439525
661;144;20.067918558913448;218.30552210041844
662;296;259.59541507268045;219.45821454603734
663;342;259.22703160533615;219.56259605994848
664;342;266.3148422436584;220.52075235058214
665;273;265.8696213696618;222.5076905665593
666;282;241.3298681709677;224.5706161585853
667;195;38.80070925409629;222.74930512132454
668;360;282.26006471120485;222.90034171760416
669;332;261.3443519602624;223.46826570901655
670;298;259.46008228567734;224.0629715488897
671;320;258.09451305545485;224.55478986758135
672;533;197.9413683487728;224.13271906160662
673;338;267.9830499009908;224.1947697347488
674;265;237.83745245846046;223.87051096465038
675;324;252.99962741857928;225.668221767204
676;252;262.0149405078338;225.90904345041127
677;312;259.69382629726965;226.2443879544365
678;602;241.10149463780553;226.81083393273173
679;295;269.037735009621;227.28859285522606
680;245;254.9519599075776;229.02121175605575
681;171;82.1086022204149;229.26075435972524
682;334;252.11377425239638;229.1374288194355
683;214;237.92877704408414;229.00873383209037
684;432;251.6299714377582;229.29914440857763
685;270;266.0420999569282;231.6848182776358
686;388;267.716015259607;233.80362533966442
